Time Elapsed,CPU%,Memory(KB),Memory(MB)
1.006732702255249,216.7,8968,8
2.007534980773926,221.9,9212,8
3.0086593627929688,234.9,9220,9
4.010163068771362,233.9,9132,8
5.011744976043701,223.8,9284,9
6.017562389373779,234.8,9172,8
7.018589019775391,235.9,9012,8
8.019709587097168,238.9,9304,9
9.020634174346924,231.9,8836,8
10.021909952163696,236.8,9036,8
11.023422479629517,21.0,9164,8
12.025236368179321,0.0,9164,8
13.026763439178467,0.0,9164,8
14.027596473693848,210.9,9192,8
15.028605699539185,240.9,9280,9
16.02986216545105,238.8,9512,9
17.037296772003174,221.6,9400,9
18.03866982460022,235.9,9096,8
19.03950810432434,234.9,9228,9
20.040549755096436,226.9,8820,8
21.04158926010132,232.9,10000,9
22.042622566223145,235.9,9236,9
23.043771505355835,234.9,8960,8
24.046404361724854,39.9,9144,8
25.048123598098755,0.0,9144,8
26.049768209457397,0.0,9144,8
27.050612926483154,188.9,9384,9
28.051589965820312,236.9,9384,9
29.05258083343506,238.9,8996,8
30.054064750671387,231.9,9212,8
31.056787252426147,234.7,9212,8
32.05904030799866,236.9,9296,9
33.06055235862732,233.8,9168,8
34.06562829017639,229.9,9228,9
35.0668842792511,238.9,9284,9
36.068352460861206,231.9,8984,8
37.070308685302734,56.0,9032,8
38.07183122634888,0.0,9032,8
39.07359838485718,0.0,9032,8
40.07470154762268,167.9,9252,9
41.075716495513916,233.9,9232,9
42.0779390335083,236.6,9024,8
43.07992482185364,235.7,9308,9
44.082051038742065,234.7,9716,9
45.08757543563843,237.8,9412,9
46.08859205245972,239.9,9400,9
47.08993315696716,228.8,9256,9
48.09262561798096,238.7,9244,9
49.0946204662323,239.7,9068,8
50.095862865448,78.9,9240,9
51.096757650375366,0.0,9240,9
52.097747564315796,0.0,9240,9
53.09874987602234,148.9,9224,9
54.10019826889038,228.9,9240,9
55.10183382034302,237.8,9480,9
56.10387682914734,238.7,9420,9
57.10461378097534,237.0,9172,8
58.10556101799011,231.9,9176,8
59.106584310531616,237.9,9092,8
60.107627153396606,235.9,9228,9
61.10867261886597,228.9,9192,8
62.10969138145447,238.9,9084,8
63.110785722732544,101.9,9252,9
64.11216807365417,0.0,9252,9
65.1134762763977,0.0,9252,9
66.11454319953918,130.9,9244,9
67.115567445755,227.9,9444,9
68.11654782295227,233.9,9432,9
69.11751437187195,233.9,9260,9
70.11910057067871,222.8,9232,9
71.12090158462524,232.8,9344,9
72.12652254104614,236.9,9092,8
73.1275794506073,235.9,9060,8
74.12865090370178,234.9,9124,8
75.12956857681274,235.9,9180,8
76.13106489181519,120.9,9384,9
77.13200807571411,0.0,9384,9
78.13396334648132,0.0,9384,9
79.13555335998535,111.9,9300,9
80.13677501678467,236.8,9332,9
81.13758039474487,238.9,9124,8
82.13853716850281,223.9,9204,8
83.13959527015686,235.9,9512,9
84.14091324806213,237.9,9284,9
85.14369297027588,227.7,9116,8
86.14501547813416,230.9,9592,9
87.14666604995728,235.8,9004,8
88.1475715637207,237.9,9400,9
89.15351033210754,144.8,9356,9
90.15605616569519,0.0,9356,9
91.15779304504395,0.0,9356,9
92.15854477882385,91.0,9080,8
93.15964865684509,232.9,9372,9
94.16058349609375,237.9,9096,8
95.16158366203308,233.9,9120,8
96.16299557685852,231.9,9124,8
97.16494941711426,236.8,9276,9
98.1669089794159,229.8,9184,8
99.16857957839966,225.7,9120,8
100.16977834701538,236.8,8964,8
101.1706075668335,235.9,9248,9
102.17747211456299,160.8,9232,9
103.17975878715515,0.0,9232,9
104.18145442008972,0.0,9232,9
105.18254828453064,72.9,9404,9
106.18356132507324,228.9,9152,8
107.18967247009277,238.8,9464,9
108.1918408870697,235.8,8972,8
109.19359755516052,229.8,9240,9
110.19458746910095,238.9,9368,9
111.19556999206543,235.9,9252,9
112.1967089176178,230.9,9732,9
113.19807147979736,234.9,9356,9
114.19983434677124,236.8,9240,9
115.20217561721802,174.8,9292,9
116.20386242866516,0.0,9292,9
117.20547604560852,0.0,9292,9
118.20654964447021,53.0,9336,9
119.20759177207947,225.9,9484,9
120.20875835418701,236.9,10148,9
121.20975136756897,235.9,9372,9
122.21212482452393,235.7,9324,9
123.21355557441711,234.0,9292,9
124.21460294723511,237.9,9464,9
