Time,TotalUsage,SystemUsage,MemoryUsage
1745767355.7206788,4963000,397180000000,3084288
1745767356.721698,4963000,397180000000,3084288
1745767357.722684,4963000,397180000000,3084288
1745767358.725753,4963000,397180000000,3084288
1745767359.72667,4963000,397180000000,3084288
1745767360.726984,4963000,397180000000,3084288
1745767361.727191,4963000,397180000000,3084288
1745767362.727378,4963000,397180000000,3084288
1745767363.727593,4963000,397180000000,3084288
1745767364.728621,4963000,397180000000,3084288
1745767365.7288058,4963000,397180000000,3084288
1745767366.7345128,4963000,397180000000,3084288
1745767367.738915,4963000,397180000000,3084288
1745767368.740559,4963000,397180000000,3084288
1745767369.7409542,4963000,397180000000,3084288
1745767370.741424,4963000,397180000000,3084288
1745767371.741722,4963000,397180000000,3084288
1745767372.742434,4963000,397180000000,3084288
1745767373.7426639,4963000,397180000000,3084288
1745767374.74298,4963000,397180000000,3084288
1745767375.7434509,4963000,397180000000,3084288
1745767376.744292,4963000,397180000000,3084288
1745767377.744661,4963000,397180000000,3084288
1745767378.750271,4963000,397180000000,3084288
1745767379.7515469,4963000,397180000000,3084288
1745767380.752245,4963000,397180000000,3084288
1745767381.7525811,4963000,397180000000,3084288
1745767382.7531798,4963000,397180000000,3084288
1745767383.7539892,4963000,397180000000,3084288
1745767384.75422,4963000,397180000000,3084288
1745767385.754414,4963000,397180000000,3084288
1745767386.754666,4963000,397180000000,3084288
1745767387.754955,4963000,397180000000,3084288
1745767388.756099,4963000,397180000000,3084288
1745767389.756578,4963000,397180000000,3084288
1745767390.762134,4963000,397180000000,3084288
1745767391.763558,4963000,397180000000,3084288
1745767392.764844,4963000,397180000000,3084288
1745767393.7651021,4963000,397180000000,3084288
1745767394.7654452,4963000,397180000000,3084288
1745767395.765698,4963000,397180000000,3084288
1745767396.766033,4963000,397180000000,3084288
1745767397.7665129,4963000,397180000000,3084288
1745767398.76702,4963000,397180000000,3084288
1745767399.767482,4963000,397180000000,3084288
1745767400.767894,4963000,397180000000,3084288
1745767401.768129,4963000,397180000000,3084288
1745767402.773886,4963000,397180000000,3084288
1745767403.7797499,4963000,397180000000,3084288
1745767404.780631,4963000,397180000000,3084288
1745767405.7810318,4963000,397180000000,3084288
1745767406.78197,4963000,397180000000,3084288
1745767407.782402,4963000,397180000000,3084288
1745767408.7828312,4963000,397180000000,3084288
1745767409.7837288,4963000,397180000000,3084288
1745767410.7847118,4963000,397180000000,3084288
1745767411.785016,4963000,397180000000,3084288
1745767412.785219,4963000,397180000000,3084288
1745767413.7854562,4963000,397180000000,3084288
1745767414.7856798,4963000,397180000000,3084288
1745767415.7859771,4963000,397180000000,3084288
1745767416.786197,4963000,397180000000,3084288
1745767417.786447,4963000,397180000000,3084288
1745767418.787725,4963000,397180000000,3084288
1745767419.788556,4963000,397180000000,3084288
1745767420.789674,4963000,397180000000,3084288
1745767421.7899148,4963000,397180000000,3084288
1745767422.7905111,4963000,397180000000,3084288
1745767423.790818,4963000,397180000000,3084288
1745767424.796073,4963000,397180000000,3084288
1745767425.801646,4963000,397180000000,3084288
1745767426.802183,4963000,397180000000,3084288
1745767427.8024042,4963000,397180000000,3084288
1745767428.802633,4963000,397180000000,3084288
1745767429.802849,4963000,397180000000,3084288
1745767430.8033469,4963000,397180000000,3084288
1745767431.803618,4963000,397180000000,3084288
1745767432.803951,4963000,397180000000,3084288
1745767433.804296,4963000,397180000000,3084288
1745767434.80462,4963000,397180000000,3084288
1745767435.80529,4963000,397180000000,3084288
1745767436.805772,4963000,397180000000,3084288
1745767437.806328,4963000,397180000000,3084288
1745767438.807201,4963000,397180000000,3084288
1745767439.807445,4963000,397180000000,3084288
1745767440.808254,4963000,397180000000,3084288
1745767441.8101451,4963000,397180000000,3084288
1745767442.812323,4963000,397180000000,3084288
1745767443.8132732,4963000,397180000000,3084288
1745767444.8136551,4963000,397180000000,3084288
1745767445.8143182,4963000,397180000000,3084288
1745767446.8195531,4963000,397180000000,3084288
1745767447.82509,4963000,397180000000,3084288
1745767448.8285491,4963000,397180000000,3084288
1745767449.832454,4963000,397180000000,3084288
1745767450.833066,4963000,397180000000,3084288
1745767451.8333492,4963000,397180000000,3084288
1745767452.834049,4963000,397180000000,3084288
1745767453.8347719,4963000,397180000000,3084288
1745767454.835993,4963000,397180000000,3084288
1745767455.836442,4963000,397180000000,3084288
1745767456.837548,4963000,397180000000,3084288
1745767457.8378508,4963000,397180000000,3084288
1745767458.838121,4963000,397180000000,3084288
1745767459.838432,4963000,397180000000,3084288
1745767460.8387241,4963000,397180000000,3084288
1745767461.839404,4963000,397180000000,3084288
1745767462.839824,4963000,397180000000,3084288
1745767463.8401122,4963000,397180000000,3084288
1745767464.840485,4963000,397180000000,3084288
1745767465.8418329,4963000,397180000000,3084288
1745767466.842143,4963000,397180000000,3084288
1745767467.8425632,4963000,397180000000,3084288
1745767468.844736,4963000,397180000000,3084288
1745767469.850385,4963000,397180000000,3084288
1745767470.8563762,4963000,397180000000,3084288
