Time Elapsed,CPU%,Memory(KB),Memory(MB)
1.0070879459381104,23.0,128624,125
2.0086724758148193,0.0,128624,125
3.0098299980163574,1.0,128624,125
4.0113184452056885,0.0,128624,125
5.01291036605835,0.0,128624,125
6.013820648193359,0.0,128624,125
7.014795541763306,75.0,130416,127
8.015856742858887,26.0,130416,127
9.016912460327148,160.9,131696,128
10.017858505249023,191.9,132720,129
11.019353866577148,10.0,132720,129
12.019785404205322,177.0,134000,130
13.020823955535889,105.9,136048,132
14.021845579147339,179.9,137328,134
15.022863864898682,7.0,137968,134
16.023859977722168,0.0,137968,134
17.02485466003418,0.0,137968,134
18.02639865875244,0.0,138224,134
19.02789044380188,183.8,138480,135
20.028818130493164,150.9,140272,136
21.029849767684937,53.0,140272,136
22.030783653259277,129.9,140656,137
23.031877756118774,188.9,141936,138
24.033941745758057,81.9,141936,138
25.034828186035156,108.9,142064,138
26.035913705825806,190.9,143344,139
27.03703236579895,44.0,143344,139
28.037800312042236,136.9,144368,140
29.038780450820923,187.9,144880,141
30.040435075759888,87.9,144880,141
31.041842699050903,100.9,145008,141
32.04290056228638,149.9,147276,143
33.044655084609985,166.8,148300,144
34.04590964317322,16.0,148556,145
35.0468852519989,187.9,148556,145
36.04792046546936,174.9,148556,145
37.04899525642395,34.0,148556,145
38.04980540275574,74.0,148556,145
39.050790548324585,191.9,149452,145
40.05246090888977,84.9,149452,145
41.05389857292175,106.9,149452,145
42.055731773376465,144.9,149452,145
43.05682301521301,176.9,149452,145
44.057987213134766,12.0,149452,145
45.058895111083984,172.9,152652,149
46.06061005592346,128.8,152652,149
47.062122106552124,63.9,154316,150
48.0628457069397,190.9,155596,151
49.06447720527649,44.9,155596,151
50.06593179702759,148.8,159052,155
51.067564964294434,136.8,159052,155
52.068822622299194,57.9,160588,156
53.06978893280029,194.9,161996,158
54.07084584236145,57.0,161996,158
55.07183003425598,137.9,163532,159
56.07302236557007,167.9,165324,161
57.073891162872314,26.0,165324,161
58.074875831604004,197.9,166604,162
59.07640886306763,62.9,166604,162
60.07782554626465,132.9,168140,164
61.07898139953613,145.9,168140,164
62.080424785614014,45.9,170228,166
63.08182382583618,194.8,172532,168
64.08284521102905,58.0,172532,168
65.08388566970825,137.9,172660,168
66.08590126037598,146.8,174324,170
67.08687257766724,49.0,175732,171
68.0878791809082,195.9,177524,173
69.08883047103882,49.0,177524,173
70.08989644050598,126.9,183028,178
71.09156942367554,131.8,183028,178
72.09307932853699,53.9,187380,182
73.09382033348083,184.9,190964,186
74.09483289718628,25.0,190964,186
75.09635424613953,150.8,195956,191
76.09800624847412,101.9,195956,191
77.09892344474792,86.0,199668,194
78.10016083717346,171.9,204020,199
79.10087203979492,3.0,206580,201
80.10188913345337,188.9,210676,205
81.10381293296814,70.9,210676,205
82.10488033294678,115.9,213492,208
83.10596418380737,129.9,213748,208
84.10689878463745,46.0,216692,211
85.10788321495056,186.9,218864,213
86.10881471633911,12.0,218864,213
87.10991525650024,163.9,219248,214
88.11099100112915,71.9,219248,214
89.11189222335815,114.9,219504,214
90.11358666419983,124.8,220528,215
91.1148829460144,52.9,223472,218
92.11588621139526,188.9,225520,220
93.11698460578918,3.0,225520,220
94.11783504486084,1.0,225520,220
