connection,duration,requests_per_sec,latency_avg,errors
10,10s,36726.01,219.14us,
50,10s,63415.5,752.54us,
100,10s,71700.84,1.41ms,
10,20s,36675.85,219.24us,
50,20s,64922.79,736.09us,
100,20s,72758.88,1.37ms,
