Time Elapsed,CPU%,Memory(KB),Memory(MB)
0.1054079532623291,102.4,29040,28
0.20644402503967285,99.5,29552,28
0.3115990161895752,100.5,29552,28
0.4167599678039551,99.5,29552,28
0.5218689441680908,99.4,30064,29
0.6269590854644775,101.4,30224,29
0.7320411205291748,99.1,30272,29
0.8371009826660156,101.2,30560,29
0.94222092628479,99.9,30592,29
1.0473928451538086,100.8,31024,30
1.1525349617004395,99.5,31248,30
1.2576570510864258,100.5,31376,30
1.3627612590789795,92.9,31920,31
1.4678781032562256,104.8,31968,31
1.5689880847930908,99.0,32000,31
1.6741139888763428,102.3,32032,31
1.7792391777038574,98.2,32048,31
1.8843319416046143,103.2,32352,31
1.9894170761108398,99.5,32384,31
2.094486951828003,98.9,32432,31
2.1995649337768555,102.1,32608,31
2.304638147354126,99.4,32928,32
2.4097001552581787,96.2,32928,32
2.5147900581359863,103.2,32928,32
2.6199259757995605,97.1,33472,32
2.720418930053711,100.7,33504,32
2.825515031814575,102.7,33504,32
2.930593967437744,95.2,33568,32
3.03566312789917,104.8,33568,32
3.140740156173706,99.1,33696,32
3.245816946029663,100.9,34240,33
3.350889205932617,100.4,34240,33
3.4559600353240967,100.2,34272,33
3.5610320568084717,97.7,34288,33
3.666102886199951,102.0,34304,33
3.7711689472198486,100.4,34384,33
3.876244068145752,99.7,34896,34
3.9813361167907715,100.1,34896,34
4.08644700050354,98.2,34896,34
4.191555023193359,99.4,34960,34
4.296645164489746,100.6,34960,34
4.401716947555542,99.0,34960,34
4.506794214248657,101.0,34976,34
4.611861944198608,96.8,35136,34
4.716946125030518,103.2,35168,34
4.822019100189209,95.3,35488,34
4.927087068557739,104.3,35488,34
5.032164096832275,99.1,35488,34
5.1372411251068115,100.9,36000,35
5.242313861846924,100.4,36032,35
5.3473801612854,100.2,36032,35
5.452229022979736,98.9,36080,35
5.557368040084839,100.7,36208,35
5.662460088729858,97.4,36208,35
5.76754903793335,103.1,36208,35
5.872617244720459,99.7,36272,35
5.977689027786255,99.7,36304,35
6.082771062850952,100.5,36448,35
6.187840938568115,99.1,36448,35
6.292925119400024,100.4,36720,35
6.3979949951171875,100.8,36720,35
6.502194166183472,99.7,36768,35
6.607274293899536,100.5,37280,36
6.712350130081177,98.3,37344,36
6.81743311882019,101.5,37344,36
6.922516107559204,100.2,37344,36
7.02656102180481,100.3,37344,36
7.127179861068726,99.5,37408,36
7.232246160507202,100.6,37408,36
7.337343215942383,99.3,37408,36
7.44241189956665,100.3,37472,36
7.547481060028076,99.7,37520,36
7.652559041976929,97.9,37776,36
7.757641077041626,102.1,37824,36
7.862707138061523,97.1,37824,36
7.967783212661743,103.0,37952,37
8.0728440284729,96.2,38464,37
8.177914142608643,103.6,38464,37
8.282992124557495,100.8,38464,37
8.38806414604187,99.2,38464,37
8.493138074874878,100.4,38464,37
8.598208904266357,100.2,38464,37
8.703274965286255,98.2,38464,37
8.808341979980469,102.7,38496,37
8.913408041000366,97.5,38768,37
9.01848316192627,101.1,38784,37
9.123547077178955,95.3,38784,37
9.22862195968628,105.7,38864,37
9.333701133728027,100.7,38992,38
9.438765048980713,98.2,38992,38
9.543835163116455,97.2,39248,38
9.648913145065308,102.8,39248,38
9.753984928131104,96.3,39376,38
9.859068155288696,103.4,39376,38
9.964139938354492,100.3,39888,38
10.06921100616455,98.2,39872,38
10.174278020858765,102.1,39872,38
10.279340028762817,97.7,39872,38
10.384445190429688,101.3,39872,38
10.485450029373169,99.6,39872,38
10.588814973831177,102.0,39904,38
10.69393515586853,97.6,39904,38
10.799177169799805,102.2,39904,38
10.9043710231781,93.3,39984,39
11.009471893310547,106.4,40048,39
11.11454725265503,100.0,40128,39
11.218043088912964,100.2,40640,39
11.323117017745972,99.9,40704,39
11.428194046020508,99.7,40704,39
11.533287048339844,100.7,40704,39
11.638370990753174,99.3,40704,39
11.741199970245361,100.7,40832,39
11.846276044845581,100.3,40832,39
11.947896957397461,99.6,40832,39
12.05301284790039,98.4,40832,39
12.15810513496399,100.5,40832,39
12.263190984725952,100.9,41088,40
12.368275165557861,100.2,41088,40
12.473412990570068,99.2,41088,40
12.578505992889404,101.1,41088,40
12.683580160140991,96.1,41216,40
12.788669109344482,102.5,41264,40
12.893748998641968,101.0,41264,40
12.997871160507202,99.9,41392,40
13.102943181991577,100.0,41408,40
13.20803713798523,100.0,41984,41
13.313114166259766,98.5,41984,41
13.418190956115723,100.3,41984,41
13.523287057876587,101.3,41984,41
13.628430128097534,100.1,41984,41
13.733551979064941,98.8,42112,41
13.838641166687012,100.5,42112,41
13.943726062774658,98.1,42112,41
14.048793077468872,101.2,42112,41
14.153877019882202,101.8,42368,41
14.258956909179688,95.8,42368,41
14.364046096801758,103.2,42368,41
14.469137191772461,95.3,42368,41
